Left,Right,Date
Central Arkansas Bears,New Orleans Privateers,1/17/2018
Houston Baptist Huskies,Southeastern Louisiana Lions,1/17/2018
Duquesne Dukes,Saint Louis Billikens,1/17/2018
Valparaiso Crusaders,Missouri State Bears,1/17/2018
Fort Wayne Mastodons,Western Illinois Leathernecks,1/17/2018
Oral Roberts Golden Eagles,South Dakota Coyotes,1/17/2018
Lamar Cardinals,Incarnate Word Cardinals,1/17/2018
Utah State Aggies,Boise State Broncos,1/17/2018
Air Force Falcons,Colorado State Rams,1/17/2018
Long Beach State 49ers,UC Davis Aggies,1/17/2018
New Mexico Lobos,UNLV Runnin' Rebels,1/17/2018
Cal State Fullerton Titans,UC Santa Barbara Gauchos,1/17/2018
CSUN Matadors,UC Riverside Highlanders,1/17/2018
Nevada Wolf Pack,San Jose State Spartans,1/17/2018
Fresno State Bulldogs,San Diego State Aztecs,1/17/2018
Norfolk State Spartans,North Carolina A&T Aggies,1/18/2018
Robert Morris Colonials,Sacred Heart Pioneers,1/18/2018
Austin Peay Governors,Tennessee State Tigers,1/18/2018
Murray State Racers,Belmont Bruins,1/18/2018
Charleston Southern Buccaneers,Campbell Fighting Camels,1/18/2018
Fairleigh Dickinson Knights,Central Connecticut State Blue Devils,1/18/2018
UNCW Seahawks,Charleston Cougars,1/18/2018
IUPUI Jaguars,Cleveland State Vikings,1/18/2018
Delaware Fightin' Blue Hens,Hofstra Pride,1/18/2018
Elon Phoenix,James Madison Dukes,1/18/2018
Bryant Bulldogs,LIU Brooklyn Blackbirds,1/18/2018
Hartford Hawks,Maine Black Bears,1/18/2018
Jacksonville State Gamecocks,Morehead State Eagles,1/18/2018
Citadel Bulldogs,UNCG Spartans,1/18/2018
Vermont Catamounts,New Hampshire Wildcats,1/18/2018
Longwood Lancers,Radford Highlanders,1/18/2018
Mount St. Mary's Mountaineers,St. Francis Brooklyn Terriers,1/18/2018
Binghamton Bearcats,Stony Brook Seawolves,1/18/2018
Drexel Dragons,Towson Tigers,1/18/2018
Mercer Bears,VMI Keydets,1/18/2018
Saint Francis U Red Flash,Wagner Seahawks,1/18/2018
Northeastern Huskies,William & Mary Tribe,1/18/2018
UIC Flames,Youngstown State Penguins,1/18/2018
Presbyterian Blue Hose,Gardner-Webb Runnin' Bulldogs,1/18/2018
Liberty Flames,High Point Panthers,1/18/2018
Niagara Purple Eagles,Quinnipiac Bobcats,1/18/2018
Massachusetts-Lowell River Hawks,Albany Great Danes,1/18/2018
North Florida Ospreys,NJIT Highlanders,1/18/2018
Jacksonville Dolphins,USC Upstate Spartans,1/18/2018
Stetson Hatters,Kennesaw State Owls,1/18/2018
Marist Red Foxes,Siena Saints,1/18/2018
FGCU Eagles,Lipscomb Bisons,1/18/2018
East Tennessee State Buccaneers,Furman Paladins,1/18/2018
Rider Broncs,Saint Peter's Peacocks,1/18/2018
Tennessee Tech Golden Eagles,Eastern Kentucky Colonels,1/18/2018
Bakersfield Roadrunners,UMKC Kangaroos,1/18/2018
Wofford Terriers,Samford Bulldogs,1/18/2018
Utah Valley Wolverines,Texas-Rio Grande Valley Vaqueros,1/18/2018
Wright State Raiders,Green Bay Phoenix,1/18/2018
Northern Kentucky Norse,Milwaukee Panthers,1/18/2018
Southeast Missouri State Redhawks,SIUE Cougars,1/18/2018
Grand Canyon Antelopes,Chicago State Cougars,1/18/2018
Coastal Carolina Chanticleers,South Alabama Jaguars,1/18/2018
Eastern Washington Eagles,Northern Arizona Lumberjacks,1/18/2018
Idaho Vandals,Southern Utah Thunderbirds,1/18/2018
Denver Pioneers,Omaha Mavericks,1/18/2018
UT Martin Skyhawks,Eastern Illinois Panthers,1/18/2018
Louisiana Ragin' Cajuns,UT Arlington Mavericks,1/18/2018
Louisiana-Monroe Warhawks,Texas State Bobcats,1/18/2018
Portland State Vikings,Idaho State Bengals,1/18/2018
Seattle Redhawks,New Mexico State Aggies,1/18/2018
Sacramento State Hornets,Weber State Wildcats,1/18/2018
UNC Asheville Bulldogs,Winthrop Eagles,1/18/2018
Cal Poly Mustangs,UC Irvine Anteaters,1/18/2018
Pepperdine Waves,Pacific Tigers,1/18/2018
Portland Pilots,San Diego Toreros,1/18/2018
Loyola Marymount Lions,BYU Cougars,1/18/2018
Santa Clara Broncos,San Francisco Dons,1/18/2018
St. Bonaventure Bonnies,Davidson Wildcats,1/19/2018
Iona Gaels,Monmouth Hawks,1/19/2018
Buffalo Bulls,Western Michigan Broncos,1/19/2018
Yale Bulldogs,Brown Bears,1/19/2018
Canisius Golden Griffins,Manhattan Jaspers,1/19/2018
Holy Cross Crusaders,Bucknell Bison,1/20/2018
George Washington Colonials,VCU Rams,1/20/2018
Rhode Island Rams,Dayton Flyers,1/20/2018
Niagara Purple Eagles,Fairfield Stags,1/20/2018
Fordham Rams,Saint Joseph's Hawks,1/20/2018
Citadel Bulldogs,VMI Keydets,1/20/2018
Northern Kentucky Norse,Green Bay Phoenix,1/20/2018
North Dakota State Bison,Fort Wayne Mastodons,1/20/2018
Saint Francis U Red Flash,Sacred Heart Pioneers,1/20/2018
Lafayette Leopards,American University Eagles,1/20/2018
Lehigh Mountain Hawks,Army West Point Black Knights,1/20/2018
Loyola Maryland Greyhounds,Colgate Raiders,1/20/2018
Ohio Bobcats,Eastern Michigan Eagles,1/20/2018
Illinois State Redbirds,Indiana State Sycamores,1/20/2018
Saint Louis Billikens,Massachusetts Minutemen,1/20/2018
Boston University Terriers,Navy Midshipmen,1/20/2018
Delaware Fightin' Blue Hens,Northeastern Huskies,1/20/2018
UT Martin Skyhawks,SIUE Cougars,1/20/2018
North Florida Ospreys,USC Upstate Spartans,1/20/2018
Georgia Southern Eagles,Georgia State Panthers,1/20/2018
La Salle Explorers,Richmond Spiders,1/20/2018
Eastern Washington Eagles,Southern Utah Thunderbirds,1/20/2018
Bakersfield Roadrunners,Chicago State Cougars,1/20/2018
Central Michigan Chippewas,Bowling Green Falcons,1/20/2018
LIU Brooklyn Blackbirds,Central Connecticut State Blue Devils,1/20/2018
UIC Flames,Cleveland State Vikings,1/20/2018
Ball State Cardinals,Miami (OH) RedHawks,1/20/2018
Hofstra Pride,Charleston Cougars,1/20/2018
Oakland Golden Grizzlies,Detroit Titans,1/20/2018
Missouri State Bears,Drake Bulldogs,1/20/2018
Western Carolina Catamounts,East Tennessee State Buccaneers,1/20/2018
North Carolina Central Eagles,Howard Bison,1/20/2018
Drexel Dragons,James Madison Dukes,1/20/2018
Bryant Bulldogs,St. Francis Brooklyn Terriers,1/20/2018
Robert Morris Colonials,Wagner Seahawks,1/20/2018
Jacksonville Dolphins,NJIT Highlanders,1/20/2018
Appalachian State Mountaineers,South Alabama Jaguars,1/20/2018
Bethune-Cookman Wildcats,Delaware State Hornets,1/20/2018
Tennessee Tech Golden Eagles,Morehead State Eagles,1/20/2018
Northern Illinois Huskies,Akron Zips,1/20/2018
George Mason Patriots,Duquesne Dukes,1/20/2018
Mount St. Mary's Mountaineers,Fairleigh Dickinson Knights,1/20/2018
Samford Bulldogs,Furman Paladins,1/20/2018
Abilene Christian Wildcats,Central Arkansas Bears,1/20/2018
FGCU Eagles,Kennesaw State Owls,1/20/2018
Southeast Missouri State Redhawks,Eastern Illinois Panthers,1/20/2018
North Carolina A&T Aggies,Maryland Eastern Shore Hawks,1/20/2018
Norfolk State Spartans,South Carolina State Bulldogs,1/20/2018
Morgan State Bears,Coppin State Eagles,1/20/2018
UNLV Runnin' Rebels,Colorado State Rams,1/20/2018
Mercer Bears,UNCG Spartans,1/20/2018
Stetson Hatters,Lipscomb Bisons,1/20/2018
Sam Houston State Bearkats,Lamar Cardinals,1/20/2018
Louisiana Ragin' Cajuns,Texas State Bobcats,1/20/2018
Coastal Carolina Chanticleers,Troy Trojans,1/20/2018
Louisiana-Monroe Warhawks,UT Arlington Mavericks,1/20/2018
Utah Valley Wolverines,New Mexico State Aggies,1/20/2018
UAPB Golden Lions,Prairie View A&M Panthers,1/20/2018
Northwestern State Demons,Southeastern Louisiana Lions,1/20/2018
Austin Peay Governors,Belmont Bruins,1/20/2018
Arkansas State Red Wolves,Little Rock Trojans,1/20/2018
Alabama A&M Bulldogs,Alcorn State Braves,1/20/2018
Alabama State Hornets,Southern University Jaguars,1/20/2018
Grambling State Tigers,Jackson State Tigers,1/20/2018
Hampton Pirates,Savannah State Tigers,1/20/2018
Cornell Big Red,Columbia Lions,1/20/2018
Harvard Crimson,Dartmouth Big Green,1/20/2018
Jacksonville State Gamecocks,Eastern Kentucky Colonels,1/20/2018
William & Mary Tribe,Elon Phoenix,1/20/2018
Towson Tigers,UNCW Seahawks,1/20/2018
San Diego State Aztecs,New Mexico Lobos,1/20/2018
Cal Poly Mustangs,CSUN Matadors,1/20/2018
Idaho Vandals,Northern Arizona Lumberjacks,1/20/2018
Marist Red Foxes,Rider Broncs,1/20/2018
Kent State Golden Flashes,Toledo Rockets,1/20/2018
Chattanooga Mocs,Wofford Terriers,1/20/2018
IUPUI Jaguars,Youngstown State Penguins,1/20/2018
Incarnate Word Cardinals,New Orleans Privateers,1/20/2018
Evansville Aces,Bradley Braves,1/20/2018
McNeese State Cowboys,Houston Baptist Huskies,1/20/2018
Grand Canyon Antelopes,UMKC Kangaroos,1/20/2018
Denver Pioneers,Oral Roberts Golden Eagles,1/20/2018
Seattle Redhawks,Texas-Rio Grande Valley Vaqueros,1/20/2018
South Dakota State Jackrabbits,Western Illinois Leathernecks,1/20/2018
Wright State Raiders,Milwaukee Panthers,1/20/2018
South Dakota Coyotes,Omaha Mavericks,1/20/2018
Murray State Racers,Tennessee State Tigers,1/20/2018
Mississippi Valley State Delta Devils,Texas Southern Tigers,1/20/2018
San Diego Toreros,BYU Cougars,1/20/2018
Sacramento State Hornets,Idaho State Bengals,1/20/2018
Montana Grizzlies,Montana State Bobcats,1/20/2018
North Dakota Fighting Hawks,Northern Colorado Bears,1/20/2018
Wyoming Cowboys,Utah State Aggies,1/20/2018
Portland State Vikings,Weber State Wildcats,1/20/2018
Portland Pilots,Loyola Marymount Lions,1/20/2018
Boise State Broncos,Nevada Wolf Pack,1/20/2018
Saint Mary's Gaels,Pacific Tigers,1/20/2018
Pepperdine Waves,San Francisco Dons,1/20/2018
Cal State Fullerton Titans,Long Beach State 49ers,1/20/2018
UC Davis Aggies,Hawaii Rainbow Warriors,1/21/2018
UC Irvine Anteaters,UC Santa Barbara Gauchos,1/21/2018
Manhattan Jaspers,Saint Peter's Peacocks,1/21/2018
Vermont Catamounts,Hartford Hawks,1/21/2018
Canisius Golden Griffins,Iona Gaels,1/21/2018
Stony Brook Seawolves,New Hampshire Wildcats,1/21/2018
Radford Highlanders,Campbell Fighting Camels,1/21/2018
UNC Asheville Bulldogs,Liberty Flames,1/21/2018
Siena Saints,Quinnipiac Bobcats,1/21/2018
UMBC Retrievers,Albany Great Danes,1/21/2018
Massachusetts-Lowell River Hawks,Binghamton Bearcats,1/21/2018
High Point Panthers,Longwood Lancers,1/21/2018
Winthrop Eagles,Presbyterian Blue Hose,1/21/2018
UNI Panthers,Southern Illinois Salukis,1/21/2018
Loyola Chicago Ramblers,Valparaiso Crusaders,1/21/2018
Gardner-Webb Runnin' Bulldogs,Charleston Southern Buccaneers,1/21/2018
Holy Cross Crusaders,American University Eagles,1/22/2018
North Carolina A&T Aggies,Howard Bison,1/22/2018
North Carolina Central Eagles,Maryland Eastern Shore Hawks,1/22/2018
Alabama State Hornets,Alcorn State Braves,1/22/2018
Hampton Pirates,South Carolina State Bulldogs,1/22/2018
Delaware State Hornets,Morgan State Bears,1/22/2018
Alabama A&M Bulldogs,Southern University Jaguars,1/22/2018
Mississippi Valley State Delta Devils,Prairie View A&M Panthers,1/22/2018
UAPB Golden Lions,Texas Southern Tigers,1/22/2018
Appalachian State Mountaineers,Troy Trojans,1/22/2018
Norfolk State Spartans,Savannah State Tigers,1/22/2018
Michigan State Spartans,Illinois Fighting Illini,1/22/2018
Arkansas Razorbacks,Georgia Bulldogs,1/23/2018
Ohio Bobcats,Akron Zips,1/23/2018
Eastern Michigan Eagles,Buffalo Bulls,1/23/2018
Miami (OH) RedHawks,Central Michigan Chippewas,1/23/2018
Davidson Wildcats,Dayton Flyers,1/23/2018
Rider Broncs,Fairfield Stags,1/23/2018
Ball State Cardinals,Kent State Golden Flashes,1/23/2018
Campbell Fighting Camels,Liberty Flames,1/23/2018
William Jewell Cardinals,UMKC Kangaroos,1/23/2018
Kansas Jayhawks,Oklahoma Sooners,1/23/2018
Toledo Rockets,Western Michigan Broncos,1/23/2018
Missouri State Bears,Bradley Braves,1/23/2018
Bowling Green Falcons,Northern Illinois Huskies,1/23/2018
East Texas Baptist Tigers,Oral Roberts Golden Eagles,1/23/2018
William Jessup Warriors,Grand Canyon Antelopes,1/23/2018
Northwestern Wildcats,Minnesota Golden Gophers,1/23/2018
VCU Rams,Saint Louis Billikens,1/23/2018
Duke Blue Devils,Wake Forest Demon Deacons,1/23/2018
UNLV Runnin' Rebels,Fresno State Bulldogs,1/23/2018
Colgate Raiders,Army West Point Black Knights,1/24/2018
Richmond Spiders,Duquesne Dukes,1/24/2018
Mercer Bears,East Tennessee State Buccaneers,1/24/2018
Stetson Hatters,Jacksonville Dolphins,1/24/2018
Boston University Terriers,Lafayette Leopards,1/24/2018
Massachusetts Minutemen,La Salle Explorers,1/24/2018
Loyola Maryland Greyhounds,Lehigh Mountain Hawks,1/24/2018
New Hampshire Wildcats,Maine Black Bears,1/24/2018
Binghamton Bearcats,UMBC Retrievers,1/24/2018
Bucknell Bison,Navy Midshipmen,1/24/2018
Gardner-Webb Runnin' Bulldogs,UNC Asheville Bulldogs,1/24/2018
Furman Paladins,UNCG Spartans,1/24/2018
Manhattan Jaspers,Niagara Purple Eagles,1/24/2018
FGCU Eagles,North Florida Ospreys,1/24/2018
Saint Joseph's Hawks,St. Bonaventure Bonnies,1/24/2018
Samford Bulldogs,Chattanooga Mocs,1/24/2018
Albany Great Danes,Vermont Catamounts,1/24/2018
Wofford Terriers,VMI Keydets,1/24/2018
Radford Highlanders,High Point Panthers,1/24/2018
Winthrop Eagles,Longwood Lancers,1/24/2018
NJIT Highlanders,Kennesaw State Owls,1/24/2018
Stony Brook Seawolves,Massachusetts-Lowell River Hawks,1/24/2018
Presbyterian Blue Hose,Charleston Southern Buccaneers,1/24/2018
New Orleans Privateers,Northwestern State Demons,1/24/2018
Southeastern Louisiana Lions,Sam Houston State Bearkats,1/24/2018
USC Upstate Spartans,Lipscomb Bisons,1/24/2018
Loyola Chicago Ramblers,Drake Bulldogs,1/24/2018
Incarnate Word Cardinals,Houston Baptist Huskies,1/24/2018
Nicholls Colonels,Lamar Cardinals,1/24/2018
Illinois State Redbirds,UNI Panthers,1/24/2018
Indiana State Sycamores,Southern Illinois Salukis,1/24/2018
Evansville Aces,Valparaiso Crusaders,1/24/2018
Abilene Christian Wildcats,Texas A&M-Corpus Christi Islanders,1/24/2018
Stephen F. Austin Lumberjacks,Central Arkansas Bears,1/24/2018
South Dakota State Jackrabbits,South Dakota Coyotes,1/24/2018
Air Force Falcons,Utah State Aggies,1/24/2018
San Jose State Spartans,Boise State Broncos,1/24/2018
UC Riverside Highlanders,UC Irvine Anteaters,1/24/2018
Colorado State Rams,San Diego State Aztecs,1/24/2018
Charleston Cougars,Delaware Fightin' Blue Hens,1/25/2018
Elon Phoenix,Drexel Dragons,1/25/2018
St. Francis Brooklyn Terriers,Fairleigh Dickinson Knights,1/25/2018
Northeastern Huskies,Hofstra Pride,1/25/2018
Quinnipiac Bobcats,Marist Red Foxes,1/25/2018
Siena Saints,Monmouth Hawks,1/25/2018
Morehead State Eagles,Murray State Racers,1/25/2018
James Madison Dukes,UNCW Seahawks,1/25/2018
William & Mary Tribe,Towson Tigers,1/25/2018
Southern Wesleyan Warriors,Western Carolina Catamounts,1/25/2018
Central Connecticut State Blue Devils,Bryant Bulldogs,1/25/2018
Little Rock Trojans,Appalachian State Mountaineers,1/25/2018
Texas State Bobcats,Georgia Southern Eagles,1/25/2018
Arkansas State Red Wolves,Coastal Carolina Chanticleers,1/25/2018
UT Arlington Mavericks,Georgia State Panthers,1/25/2018
Eastern Illinois Panthers,Belmont Bruins,1/25/2018
Troy Trojans,Louisiana-Monroe Warhawks,1/25/2018
Cleveland State Vikings,Green Bay Phoenix,1/25/2018
Youngstown State Penguins,Milwaukee Panthers,1/25/2018
Omaha Mavericks,North Dakota State Bison,1/25/2018
South Alabama Jaguars,Louisiana Ragin' Cajuns,1/25/2018
Eastern Kentucky Colonels,Austin Peay Governors,1/25/2018
UT Martin Skyhawks,Jacksonville State Gamecocks,1/25/2018
SIUE Cougars,Tennessee State Tigers,1/25/2018
Southeast Missouri State Redhawks,Tennessee Tech Golden Eagles,1/25/2018
Western Illinois Leathernecks,Denver Pioneers,1/25/2018
Southern Utah Thunderbirds,Montana Grizzlies,1/25/2018
Northern Arizona Lumberjacks,Montana State Bobcats,1/25/2018
LIU Brooklyn Blackbirds,Mount St. Mary's Mountaineers,1/25/2018
North Dakota Fighting Hawks,Eastern Washington Eagles,1/25/2018
CSUN Matadors,UC Davis Aggies,1/25/2018
Long Beach State 49ers,Cal Poly Mustangs,1/25/2018
Northern Colorado Bears,Idaho Vandals,1/25/2018
Loyola Marymount Lions,Pepperdine Waves,1/25/2018
Santa Clara Broncos,San Diego Toreros,1/25/2018
Pacific Tigers,San Francisco Dons,1/25/2018
UC Santa Barbara Gauchos,Cal State Fullerton Titans,1/25/2018
Gonzaga Bulldogs,Portland Pilots,1/25/2018
Wagner Seahawks,Saint Francis U Red Flash,1/26/2018
Buffalo Bulls,Ohio Bobcats,1/26/2018
Dartmouth Big Green,Brown Bears,1/26/2018
Saint Peter's Peacocks,Rider Broncs,1/26/2018
Sacred Heart Pioneers,Robert Morris Colonials,1/26/2018
Detroit Titans,Wright State Raiders,1/26/2018
Harvard Crimson,Yale Bulldogs,1/26/2018
Oakland Golden Grizzlies,Northern Kentucky Norse,1/26/2018
Bakersfield Roadrunners,Seattle Redhawks,1/26/2018
Akron Zips,Ball State Cardinals,1/27/2018
Maine Black Bears,UMBC Retrievers,1/27/2018
Youngstown State Penguins,Green Bay Phoenix,1/27/2018
Fairfield Stags,Quinnipiac Bobcats,1/27/2018
Fairleigh Dickinson Knights,Bryant Bulldogs,1/27/2018
American University Eagles,Colgate Raiders,1/27/2018
Northeastern Huskies,Drexel Dragons,1/27/2018
Drake Bulldogs,Evansville Aces,1/27/2018
Massachusetts Minutemen,Fordham Rams,1/27/2018
VCU Rams,George Mason Patriots,1/27/2018
Charleston Southern Buccaneers,Radford Highlanders,1/27/2018
Elon Phoenix,Towson Tigers,1/27/2018
Northern Illinois Huskies,Western Michigan Broncos,1/27/2018
Campbell Fighting Camels,Winthrop Eagles,1/27/2018
Cleveland State Vikings,Milwaukee Panthers,1/27/2018
Kennesaw State Owls,USC Upstate Spartans,1/27/2018
Lafayette Leopards,Holy Cross Crusaders,1/27/2018
Texas State Bobcats,Georgia State Panthers,1/27/2018
James Madison Dukes,Charleston Cougars,1/27/2018
Troy Trojans,Louisiana Ragin' Cajuns,1/27/2018
Longwood Lancers,Gardner-Webb Runnin' Bulldogs,1/27/2018
Western Illinois Leathernecks,North Dakota State Bison,1/27/2018
New Orleans Privateers,Incarnate Word Cardinals,1/27/2018
Texas-Rio Grande Valley Vaqueros,Chicago State Cougars,1/27/2018
South Alabama Jaguars,Louisiana-Monroe Warhawks,1/27/2018
Arkansas State Red Wolves,Appalachian State Mountaineers,1/27/2018
Little Rock Trojans,Coastal Carolina Chanticleers,1/27/2018
Eastern Michigan Eagles,Miami (OH) RedHawks,1/27/2018
Columbia Lions,Cornell Big Red,1/27/2018
Western Carolina Catamounts,Furman Paladins,1/27/2018
IUPUI Jaguars,UIC Flames,1/27/2018
San Diego Toreros,Loyola Marymount Lions,1/27/2018
Army West Point Black Knights,Loyola Maryland Greyhounds,1/27/2018
Citadel Bulldogs,Mercer Bears,1/27/2018
Marist Red Foxes,Monmouth Hawks,1/27/2018
Southern Utah Thunderbirds,Montana State Bobcats,1/27/2018
St. Francis Brooklyn Terriers,Mount St. Mary's Mountaineers,1/27/2018
Liberty Flames,Presbyterian Blue Hose,1/27/2018
Dayton Flyers,Saint Louis Billikens,1/27/2018
North Florida Ospreys,Stetson Hatters,1/27/2018
Sacramento State Hornets,Portland State Vikings,1/27/2018
Lipscomb Bisons,NJIT Highlanders,1/27/2018
New Hampshire Wildcats,Binghamton Bearcats,1/27/2018
Howard Bison,Maryland Eastern Shore Hawks,1/27/2018
South Carolina State Bulldogs,Coppin State Eagles,1/27/2018
North Carolina Central Eagles,North Carolina A&T Aggies,1/27/2018
Savannah State Tigers,Delaware State Hornets,1/27/2018
Kent State Golden Flashes,Central Michigan Chippewas,1/27/2018
Central Connecticut State Blue Devils,LIU Brooklyn Blackbirds,1/27/2018
High Point Panthers,UNC Asheville Bulldogs,1/27/2018
Central Arkansas Bears,Northwestern State Demons,1/27/2018
UT Arlington Mavericks,Georgia Southern Eagles,1/27/2018
Nebraska Christian Sentinels,Oral Roberts Golden Eagles,1/27/2018
Wyoming Cowboys,San Jose State Spartans,1/27/2018
VMI Keydets,Chattanooga Mocs,1/27/2018
Grand Canyon Antelopes,Utah Valley Wolverines,1/27/2018
Hartford Hawks,Massachusetts-Lowell River Hawks,1/27/2018
Northern Colorado Bears,Eastern Washington Eagles,1/27/2018
Fort Wayne Mastodons,South Dakota State Jackrabbits,1/27/2018
